Expression;Meaning;Reading
wallow;"1. tarzać się
2. pławić się
3. taplać się (w błocie)
4. pławić się (np. w luksusie)
5. rozkoszować się (np. sławą)
6. pogrążać się
7. dogłębnie odczuwać (dotyczy negatywnych emocji)";<img src="wallow.png">
invariably;"1. niezmiennie
2. zawsze";<img src="invariably.png">
distinguish | distinguish oneself;"1. odróżnić
2. rozróżnić
3. rozpoznać
4. wyróżnić
5. odróżnić (czynić innym)
6. rozpoznawać (np. dźwięk, obraz)
7. wyróżniać się
8. odznaczać się (dać się zapamiętać)";<img src="distinguish.png">
stiff upper lip;"1. stoicyzm
2. umiejętność kontrolowania swoich emocji (nawet w obliczu trudnych sytuacji)";
presumptuous;"1. arogancki
2. zarozumiały
3. bezczelny";<img src="presumptuous.png">
have a chip on one's shoulder;"1. mieć pretensje do całego świata z powodu urazy";
resilience | resiliency;"1. zdolność zdrowienia
2. wytrzymałość
3. odporność
4. elastyczność
5. sprężystość";<img src="resilience.png"> <img src="resiliency.png">
fearless;"1. nieustraszony";<img src="fearless.png">
unfazed;"1. niewzruszony";<img src="unfazed.png">
disparate;"1. odmienny
2. różny";<img src="disparate.png">
humble | humble oneself;"1. pokorny
2. skromny
3. prosty
4. niski
5. skromny (o pochodzeniu społecznym)
6. uczyć pokory
7. poskromić
8. zniszczyć (silnego przeciwnika w sporcie)
9. spokornieć";<img src="humble.png">
audacity | audaciousness | nerviness | Audacity;"1. śmiałość
2. zuchwałość
3. tupet
4. czelność
5. bezczelność
6. Audacity (edytor plików dźwiękowych)";<img src="audacity.png"> <img src="audaciousness.png"> <img src="audacity.png">
notoriety;"1. zła sława
2. gagatek
3. ziółko (określenie pejoratywne)";<img src="notoriety.png">
Fear of Missing Out | FOMO;"1. strach przed wykluczeniem z życia towarzyskiego
2. strach przed pominięciem (uważane za chorobę XXI wieku)";
overwrought;"1. wyczerpany nerwowo
2. podenerwowany
3. przestylizowany (np. tekst)";<img src="overwrought.png">
twitch | couch grass | common couch | twitch | quick grass | quitch grass elymus repens;"1. tik (np. nerwowy)
2. drgawka
3. skurcz (mięśni)
4. tik (nerwowy)
5. wyjazd na obserwację rzadkiego gatunku ptaka
6. dutka (przyrząd do poskramiania koni)
7. szarpać
8. ciągnąć
9. drgać (o ręce, oku)
10. wykrzywiać się (o twarzy)
11. perz właściwy (gatunek byliny)";<img src="twitch.png"> <img src="couch_grass.png"> <img src="twitch.png">
grim;"1. groźny
2. okrutny
3. ponury
4. srogi
5. nędzny";<img src="grim.png">
unfold;"1. rozkładać (np. mapę)
2. rozpakowywać (zawiniątko)
3. rozwijać (zwitek czegoś)
4. roztaczać się (o widoku)
5. rozwijać się (o fabule)
6. toczyć się (o akcji)";<img src="unfold.png">
bank holiday;"1. dzień ustawowo wolny od pracy
2. święto państwowe
3. święto narodowe
4. święto bankowe";<img src="bank_holiday-en-GB.png">
physiology;"1. fizjologia";<img src="physiology.png">
solitude;"1. osamotnienie
2. samotność
3. niezamieszkane miejsce
4. bezludzie
5. ustronie
6. odludne miejsce";<img src="solitude.png">
stingy;"1. skąpy
2. mierny (np. ilość)
3. kłujący
4. piekący";<img src="stingy.png">
smarmy;"1. przymilny
2. lizusowski";<img src="smarmy.png">
affordable;"1. przystępny (w przystępnej cenie)";<img src="affordable.png">
